POLLSTER,DATE,SAMPLE,MOE,CLINTON (D),TRUMP (R),SPREAD
Final Results,—,—,—,48.2,46.1,Clinton +2.1
RCP Average,11/1 - 11/7,—,—,46.8,43.6,Clinton +3.2
Bloomberg,11/4 - 11/6,799 LV,3.5,46,43,Clinton +3
IBD/TIPP Tracking,11/4 - 11/7,1107 LV,3.1,43,42,Clinton +1
Economist/YouGov,11/4 - 11/7,3669 LV,—,49,45,Clinton +4
LA Times/USC Tracking,11/1 - 11/7,2935 LV,4.5,44,47,Trump +3
ABC/Wash Post Tracking,11/3 - 11/6,2220 LV,2.5,49,46,Clinton +3
FOX News,11/3 - 11/6,1295 LV,2.5,48,44,Clinton +4
Monmouth,11/3 - 11/6,748 LV,3.6,50,44,Clinton +6
NBC News/Wall St. Jrnl,11/3 - 11/5,1282 LV,2.7,48,43,Clinton +5
CBS News,11/2 - 11/6,1426 LV,3.0,47,43,Clinton +4
Reuters/Ipsos,11/2 - 11/6,2196 LV,2.3,44,39,Clinton +5
McClatchy/Marist,11/1 - 11/3,940 LV,3.2,46,44,Clinton +2
FOX News,11/1 - 11/3,1107 LV,3.0,46,45,Clinton +1
NBC News/SM,10/31 - 11/6,30145 LV,1.0,51,44,Clinton +7
Reuters/Ipsos,10/31 - 11/4,2244 LV,2.2,44,40,Clinton +4
Gravis,10/31 - 10/31,5360 RV,1.3,50,50,Tie
Reuters/Ipsos,10/30 - 11/3,2021 LV,2.5,44,39,Clinton +5
Economist/YouGov,10/30 - 11/1,1233 LV,3.2,48,45,Clinton +3
Reuters/Ipsos,10/29 - 11/2,1858 LV,2.6,45,39,Clinton +6
CBS News/NY Times,10/28 - 11/1,1333 LV,3.0,47,44,Clinton +3
ABC/Wash Post Tracking,10/27 - 10/30,1128 LV,3.0,48,47,Clinton +1
LA Times/USC Tracking,10/25 - 10/31,3145 LV,4.5,43,47,Trump +4
IBD/TIPP Tracking,10/25 - 10/30,1013 LV,3.3,45,43,Clinton +2
NBC News/SM,10/24 - 10/30,40816 LV,1.0,51,44,Clinton +7
LA Times/USC Tracking,10/22 - 10/28,3248 LV,4.5,44,46,Trump +2
ABC/Wash Post Tracking,10/23 - 10/26,1109 LV,3.0,50,45,Clinton +5
Economist/YouGov,10/22 - 10/26,1209 LV,3.3,49,46,Clinton +3
FOX News,10/22 - 10/25,1221 LV,2.5,49,44,Clinton +5
IBD/TIPP Tracking,10/20 - 10/25,921 LV,3.3,43,41,Clinton +2
Pew Research,10/20 - 10/25,2120 RV,2.4,50,43,Clinton +7
ABC News Tracking,10/21 - 10/24,1119 LV,3.0,51,43,Clinton +8
CNBC,10/21 - 10/24,LV,—,47,37,Clinton +10
LA Times/USC Tracking,10/19 - 10/25,3145 LV,4.5,44,45,Trump +1
USA Today/Suffolk,10/20 - 10/24,1000 LV,3.0,49,39,Clinton +10
Associated Press-GfK,10/20 - 10/24,1212 LV,—,54,41,Clinton +13
Reuters/Ipsos,10/20 - 10/24,1170 LV,3.3,43,37,Clinton +6
ABC News Tracking,10/20 - 10/23,611 LV,4.5,53,41,Clinton +12
Gravis,10/20 - 10/23,2109 RV,2.1,50,50,Tie
CNN/ORC,10/20 - 10/23,779 LV,3.5,51,45,Clinton +6
NBC News/SM,10/17 - 10/23,32255 LV,1.0,50,44,Clinton +6
Quinnipiac,10/17 - 10/18,1007 LV,3.1,50,44,Clinton +6
Economist/YouGov,10/15 - 10/18,925 RV,3.9,47,43,Clinton +4
FOX News,10/15 - 10/17,912 LV,3.0,49,42,Clinton +7
Bloomberg,10/14 - 10/17,1006 LV,3.1,50,41,Clinton +9
Reuters/Ipsos,10/13 - 10/17,1190 LV,3.3,43,39,Clinton +4
Monmouth,10/14 - 10/16,726 LV,3.6,53,41,Clinton +12
CBS News,10/12 - 10/16,1189 LV,3.0,51,40,Clinton +11
NBC News/SM,10/10 - 10/16,24804 LV,1.0,51,43,Clinton +8
ABC News/Wash Post,10/10 - 10/13,740 LV,4.0,50,46,Clinton +4
NBC News/Wall St. Jrnl,10/10 - 10/13,905 LV,3.3,51,41,Clinton +10
LA Times/USC Tracking,10/9 - 10/15,2946 LV,4.5,44,45,Trump +1
FOX News,10/10 - 10/12,917 LV,3.0,49,41,Clinton +8
NBC News/Wall St. Jrnl,10/8 - 10/10,806 LV,3.5,50,40,Clinton +10
Reuters/Ipsos,10/6 - 10/10,2363 LV,2.2,44,37,Clinton +7
NBC News/Wall St. Jrnl,10/8 - 10/9,447 LV,4.6,52,38,Clinton +14
Economist/YouGov,10/7 - 10/8,971 RV,4.2,48,43,Clinton +5
The Atlantic,10/5 - 10/9,886 LV,3.9,49,38,Clinton +11
LA Times/USC Tracking,10/4 - 10/10,2969 LV,4.5,43,45,Trump +2
NBC News/SM,10/3 - 10/9,23329 LV,1.0,51,44,Clinton +7
Quinnipiac,10/5 - 10/6,1064 LV,3.0,50,44,Clinton +6
FOX News,10/3 - 10/6,896 LV,3.0,48,44,Clinton +4
Economist/YouGov,10/1 - 10/3,911 RV,3.9,48,43,Clinton +5
Reuters/Ipsos,9/29 - 10/3,1239 LV,3.2,44,37,Clinton +7
The Atlantic/PRRI,9/28 - 10/2,609 LV,—,47,41,Clinton +6
CBS News,9/28 - 10/2,1217 LV,4.0,49,43,Clinton +6
CNN/ORC,9/28 - 10/2,1213 LV,3.0,51,45,Clinton +6
LA Times/USC Tracking,9/27 - 10/3,2275 LV,4.5,43,47,Trump +4
FOX News,9/27 - 9/29,911 LV,3.0,49,44,Clinton +5
NBC News/SM,9/26 - 10/2,26925 LV,1.0,50,44,Clinton +6
PPP (D),9/27 - 9/28,933 LV,3.2,49,45,Clinton +4
Gravis,9/27 - 9/27,3386 RV,1.7,50,50,Tie
Reuters/Ipsos,9/22 - 9/26,1041 LV,3.5,44,38,Clinton +6
Quinnipiac,9/22 - 9/25,1115 LV,2.9,47,46,Clinton +1
Bloomberg,9/21 - 9/24,1002 LV,3.1,46,46,Tie
Monmouth,9/22 - 9/25,729 LV,3.6,49,46,Clinton +3
Economist/YouGov,9/22 - 9/24,948 RV,3.8,48,44,Clinton +4
LA Times/USC Tracking,9/20 - 9/26,2726 LV,4.5,43,46,Trump +3
NBC News/SM,9/19 - 9/25,13598 LV,1.1,51,44,Clinton +7
ABC News/Wash Post,9/19 - 9/22,651 LV,4.5,49,47,Clinton +2
Economist/YouGov,9/18 - 9/19,936 RV,4.0,45,44,Clinton +1
Reuters/Ipsos,9/15 - 9/19,1111 LV,3.4,39,39,Tie
McClatchy/Marist,9/15 - 9/20,758 LV,3.6,48,41,Clinton +7
NBC News/Wall St. Jrnl,9/16 - 9/19,922 LV,3.2,48,41,Clinton +7
Associated Press-GfK,9/15 - 9/16,1251 LV,—,50,44,Clinton +6
LA Times/USC Tracking,9/13 - 9/19,2524 LV,4.5,42,47,Trump +5
NBC News/SM,9/12 - 9/18,13320 LV,1.2,50,45,Clinton +5
FOX News,9/11 - 9/14,867 LV,3.0,45,46,Trump +1
CBS News/NY Times,9/9 - 9/13,1433 LV,3.0,46,44,Clinton +2
Economist/YouGov,9/10 - 9/13,926 RV,4.0,46,44,Clinton +2
Quinnipiac,9/8 - 9/13,960 LV,3.2,48,43,Clinton +5
Reuters/Ipsos,9/8 - 9/12,1127 LV,3.3,40,39,Clinton +1
LA Times/USC Tracking,9/5 - 9/11,2596 LV,4.5,44,44,Tie
NBC News/SM,9/5 - 9/11,16220 RV,1.1,48,44,Clinton +4
ABC News/Wash Post,9/5 - 9/8,642 LV,4.5,51,43,Clinton +8
Economist/YouGov,9/4 - 9/6,955 RV,4.7,44,42,Clinton +2
Reuters/Ipsos,9/1 - 9/5,1084 LV,3.5,40,38,Clinton +2
CNN/ORC,9/1 - 9/4,786 LV,3.5,48,49,Trump +1
NBC News/SM,8/29 - 9/4,32226 RV,1.0,48,42,Clinton +6
IBD/TIPP,8/26 - 9/1,861 LV,3.4,44,43,Clinton +1
FOX News,8/28 - 8/30,1011 RV,3.0,48,42,Clinton +6
PPP (D),8/26 - 8/28,881 LV,3.3,48,43,Clinton +5
Economist/YouGov,8/27 - 8/29,1119 RV,4.0,47,42,Clinton +5
Reuters/Ipsos,8/25 - 8/29,1404 LV,3.0,40,39,Clinton +1
Monmouth,8/25 - 8/28,689 LV,3.7,49,42,Clinton +7
USA Today/Suffolk,8/24 - 8/29,1000 LV,3.0,48,41,Clinton +7
NBC News/SM,8/22 - 8/28,24104 RV,1.0,48,42,Clinton +6
LA Times/USC,8/22 - 8/28,2460 LV,4.5,44,44,Tie
Reuters/Ipsos,8/20 - 8/24,1049 LV,3.5,42,35,Clinton +7
Economist/YouGov,8/19 - 8/23,906 RV,4.1,47,44,Clinton +3
Quinnipiac,8/18 - 8/24,1498 LV,2.5,51,41,Clinton +10
NBC News/SM,8/15 - 8/21,17459 RV,1.1,50,42,Clinton +8
Reuters/Ipsos,8/13 - 8/17,1049 LV,3.5,41,36,Clinton +5
Economist/YouGov,8/14 - 8/16,911 RV,4.2,47,41,Clinton +6
Gravis,8/15 - 8/15,1143 RV,2.9,54,46,Clinton +8
NBC News/SM,8/8 - 8/14,15179 RV,1.2,50,41,Clinton +9
LA Times/USC,8/6 - 8/12,2325 LV,—,46,42,Clinton +4
Reuters/Ipsos,8/6 - 8/10,974 LV,3.5,42,36,Clinton +6
Economist/YouGov,8/6 - 8/9,911 RV,4.2,48,41,Clinton +7
Bloomberg,8/5 - 8/8,749 LV,3.6,50,44,Clinton +6
ABC News/Wash Post,8/1 - 8/4,815 RV,4.0,50,42,Clinton +8
LA Times/USC,7/30 - 8/5,2175 LV,—,45,44,Clinton +1
IBD/TIPP,7/29 - 8/4,851 RV,3.4,46,39,Clinton +7
McClatchy/Marist,8/1 - 8/3,983 RV,3.1,48,33,Clinton +15
NBC News/Wall St. Jrnl,7/31 - 8/3,800 RV,3.5,47,38,Clinton +9
NBC News/SM,8/1 - 8/7,11480 RV,1.2,51,41,Clinton +10
FOX News,7/31 - 8/2,1022 RV,3.0,49,39,Clinton +10
Economist/YouGov,7/30 - 8/1,933 RV,4.1,46,43,Clinton +3
CBS News,7/29 - 7/31,1131 RV,3.0,47,41,Clinton +6
Reuters/Ipsos,7/30 - 8/3,1072 LV,3.5,43,39,Clinton +4
CNN/ORC,7/29 - 7/31,894 RV,3.5,52,43,Clinton +9
NBC News/SM,7/25 - 7/31,12742 RV,1.2,50,42,Clinton +8
PPP (D),7/29 - 7/30,1276 LV,2.7,50,45,Clinton +5
Reuters/Ipsos,7/25 - 7/29,1050 LV,3.5,40,35,Clinton +5
Rasmussen Reports,7/26 - 7/27,1000 LV,3.0,43,42,Clinton +1
Economist/YouGov,7/23 - 7/24,1057 RV,4.5,47,42,Clinton +5
CNN/ORC,7/22 - 7/24,882 RV,3.5,45,48,Trump +3
LA Times/USC,7/20 - 7/26,2150 LV,—,40,47,Trump +7
CBS News,7/22 - 7/24,1118 RV,4.0,43,44,Trump +1
NBC News/SM,7/18 - 7/24,12931 RV,1.2,46,45,Clinton +1
Gravis,7/21 - 7/22,3462 RV,1.7,49,51,Trump +2
Rasmussen Reports,7/18 - 7/19,1000 LV,3.0,42,43,Trump +1
Reuters/Ipsos,7/16 - 7/20,1232 RV,3.2,40,36,Clinton +4
Economist/YouGov,7/15 - 7/17,925 RV,4.5,45,41,Clinton +4
NBC News/SM,7/11 - 7/17,9436 RV,1.4,46,45,Clinton +1
CNN/ORC,7/13 - 7/16,872 RV,3.5,49,42,Clinton +7
ABC News/Wash Post,7/11 - 7/14,816 RV,4.0,47,43,Clinton +4
Rasmussen Reports,7/12 - 7/13,1000 LV,3.0,37,44,Trump +7
NBC News/Wall St. Jrnl,7/9 - 7/13,1000 RV,3.1,46,41,Clinton +5
CBS News/NY Times,7/8 - 7/12,1358 RV,3.0,40,40,Tie
Economist/YouGov,7/9 - 7/11,932 RV,4.5,45,43,Clinton +2
McClatchy/Marist,7/5 - 7/9,1053 RV,3.0,42,39,Clinton +3
Rasmussen Reports,7/5 - 7/5,1000 LV,3.0,40,42,Trump +2
Reuters/Ipsos,7/2 - 7/6,1345 RV,2.8,44,33,Clinton +11
Economist/YouGov,7/2 - 7/4,1004 RV,4.0,47,42,Clinton +5
Rasmussen Reports,6/28 - 6/29,1000 LV,3.0,39,43,Trump +4
USA Today/Suffolk,6/26 - 6/29,1000 LV,3.0,46,40,Clinton +6
PPP (D),6/27 - 6/28,947 RV,3.2,48,44,Clinton +4
Gravis*,6/27 - 6/28,2162 RV,2.1,50,48,Clinton +2
FOX News,6/26 - 6/28,1017 RV,3.0,44,38,Clinton +6
Reuters/Ipsos,6/25 - 6/29,1247 RV,2.8,42,32,Clinton +10
IBD/TIPP,6/24 - 6/29,837 RV,3.5,44,40,Clinton +4
Economist/YouGov,6/24 - 6/27,1069 RV,3.9,42,38,Clinton +4
Quinnipiac,6/21 - 6/27,1610 RV,2.4,42,40,Clinton +2
Pew Research,6/15 - 6/26,1655 RV,2.7,51,42,Clinton +9
ABC News/Wash Post,6/20 - 6/23,836 RV,4.0,51,39,Clinton +12
NBC News/Wall St. Jrnl,6/19 - 6/23,1000 RV,3.1,46,41,Clinton +5
Rasmussen Reports,6/20 - 6/21,1000 LV,3.0,44,39,Clinton +5
Reuters/Ipsos,6/18 - 6/22,1339 RV,2.8,44,34,Clinton +10
Economist/YouGov,6/18 - 6/20,1011 RV,4.1,43,39,Clinton +4
CNN/ORC,6/16 - 6/19,891 RV,3.5,47,42,Clinton +5
Monmouth,6/15 - 6/19,721 LV,3.7,49,41,Clinton +8
Gravis*,6/16 - 6/16,2197 RV,2.1,51,47,Clinton +4
Rasmussen Reports,6/14 - 6/15,1000 LV,3.0,44,39,Clinton +5
Reuters/Ipsos,6/11 - 6/15,1323 RV,2.8,41,32,Clinton +9
CNBC,6/11 - 6/13,801 RV,3.5,40,35,Clinton +5
Bloomberg*,6/10 - 6/13,750 LV,3.6,49,37,Clinton +12
CBS News,6/9 - 6/13,1048 RV,4.0,43,37,Clinton +6
FOX News,6/5 - 6/8,1004 RV,3.0,42,39,Clinton +3
Rasmussen Reports,6/6 - 6/7,1000 LV,3.0,42,38,Clinton +4
Reuters/Ipsos,6/4 - 6/8,1440 RV,2.9,42,34,Clinton +8
Economist/YouGov,6/2 - 6/5,1636 RV,3.6,44,41,Clinton +3
IBD/TIPP,5/31 - 6/5,850 RV,3.3,45,40,Clinton +5
Rasmussen Reports,5/31 - 6/1,1000 LV,3.0,39,38,Clinton +1
Quinnipiac,5/24 - 5/30,1561 RV,2.5,45,41,Clinton +4
Rasmussen Reports,5/23 - 5/24,1000 LV,3.0,40,39,Clinton +1
ABC News/Wash Post,5/16 - 5/19,829 RV,3.5,44,46,Trump +2
LA Times/USC,8/14 - 8/20,2385 LV,—,43,45,Trump +2
NBC News/Wall St. Jrnl,5/15 - 5/19,1000 RV,3.1,46,43,Clinton +3
Rasmussen Reports,5/17 - 5/18,1000 LV,3.0,37,42,Trump +5
FOX News,5/14 - 5/17,1021 RV,3.0,42,45,Trump +3
CBS News/NY Times,5/13 - 5/17,1109 RV,3.0,47,41,Clinton +6
Gravis*,5/10 - 5/10,1574 RV,2.5,50,48,Clinton +2
PPP (D),5/6 - 5/9,1222 RV,3.2,47,41,Clinton +6
CNN/ORC,4/28 - 5/1,890 RV,3.5,54,41,Clinton +13
Rasmussen Reports,4/27 - 4/28,1000 LV,3.0,39,41,Trump +2
IBD/TIPP,4/22 - 4/28,814 RV,3.5,47,40,Clinton +7
Rasmussen Reports,4/25 - 4/26,1000 LV,3.0,38,38,Tie
USA Today/Suffolk,4/20 - 4/24,1000 LV,3.0,50,39,Clinton +11
GWU/Battleground,4/17 - 4/20,1000 LV,3.1,46,43,Clinton +3
FOX News,4/11 - 4/13,1021 RV,3.0,48,41,Clinton +7
NBC News/Wall St. Jrnl,4/10 - 4/14,1000 RV,3.1,50,39,Clinton +11
CBS News,4/8 - 4/12,1098 RV,3.0,50,40,Clinton +10
McClatchy/Marist,3/29 - 3/31,1066 RV,3.0,50,41,Clinton +9
IBD/TIPP,3/28 - 4/2,819 RV,3.5,47,35,Clinton +12
PPP (D),3/24 - 3/26,1083 RV,3.0,48,41,Clinton +7
FOX News,3/20 - 3/22,1016 RV,3.0,49,38,Clinton +11
Bloomberg,3/19 - 3/22,815 LV,3.4,54,36,Clinton +18
Quinnipiac,3/16 - 3/21,1451 RV,2.6,46,40,Clinton +6
CBS News/NY Times,3/17 - 3/20,1058 RV,4.0,50,40,Clinton +10
CNN/ORC,3/17 - 3/20,925 RV,3.0,53,41,Clinton +12
Monmouth,3/17 - 3/20,848 RV,3.4,48,38,Clinton +10
ABC News/Wash Post,3/3 - 3/6,864 RV,4.0,50,41,Clinton +9
NBC News/Wall St. Jrnl,3/3 - 3/6,1200 RV,2.8,51,38,Clinton +13
Rasmussen Reports,2/29 - 3/1,1000 LV,3.0,41,36,Clinton +5
CNN/ORC,2/24 - 2/27,920 RV,3.0,52,44,Clinton +8
FOX News,2/15 - 2/17,1031 RV,3.0,47,42,Clinton +5
USA Today/Suffolk,2/11 - 2/15,1000 LV,3.0,43,45,Trump +2
Quinnipiac,2/10 - 2/15,1342 RV,2.7,44,43,Clinton +1
Quinnipiac,2/2 - 2/4,1125 RV,2.9,46,41,Clinton +5
PPP (D),2/2 - 2/3,1236 RV,2.8,47,40,Clinton +7
NBC News/Wall St. Jrnl,1/9 - 1/13,800 RV,3.5,51,41,Clinton +10
FOX News,1/4 - 1/7,1006 RV,3.0,44,47,Trump +3
Rasmussen Reports,12/22 - 12/23,1000 LV,3.0,37,36,Clinton +1
CNN/ORC,12/17 - 12/21,927 RV,3.0,49,47,Clinton +2
Quinnipiac,12/16 - 12/20,1140 RV,2.9,47,40,Clinton +7
FOX News,12/16 - 12/17,1013 RV,3.0,49,38,Clinton +11
PPP (D),12/16 - 12/17,1267 RV,2.8,46,43,Clinton +3
ABC News/Wash Post,12/10 - 12/13,851 RV,4.0,50,44,Clinton +6
NBC/WSJ,12/6 - 12/9,849 RV,3.4,50,40,Clinton +10
USA Today/Suffolk,12/2 - 12/6,1000 LV,3.0,48,44,Clinton +4
CNN/ORC,11/27 - 12/1,930 RV,3.0,49,46,Clinton +3
Quinnipiac,11/23 - 11/30,1473 RV,2.6,47,41,Clinton +6
MSNBC/Telemundo/Marist,11/15 - 12/2,2360 RV,2.0,52,41,Clinton +11
FOX News,11/16 - 11/19,1016 RV,4.0,41,46,Trump +5
PPP (D),11/16 - 11/17,1360 RV,2.7,45,44,Clinton +1
McClatchy/Marist,10/29 - 11/4,541 RV,4.2,56,41,Clinton +15
Quinnipiac,10/29 - 11/2,1144 RV,2.9,46,43,Clinton +3
NBC News/Wall St. Jrnl,10/25 - 10/29,847 RV,3.4,50,42,Clinton +8
CNN/ORC,10/14 - 10/17,956 RV,3.0,50,45,Clinton +5
FOX News,10/10 - 10/12,1004 RV,3.0,40,45,Trump +5
PPP (D),10/1 - 10/4,1338 RV,2.7,44,44,Tie
NBC News/Wall St. Jrnl,9/20 - 9/24,RV,—,49,39,Clinton +10
FOX News,9/20 - 9/22,1013 RV,3.0,46,42,Clinton +4
Quinnipiac,9/17 - 9/21,1574 RV,2.5,45,43,Clinton +2
ABC News/Wash Post,9/7 - 9/10,821 RV,4.0,46,43,Clinton +3
CNN/ORC,9/4 - 9/8,930 RV,3.0,48,48,Tie
MSNBC/Telemundo/Marist,8/26 - 9/9,1115 RV,2.9,53,40,Clinton +13
SurveyUSA,9/2 - 9/3,900 RV,3.3,40,45,Trump +5
PPP (D),8/28 - 8/30,1254 RV,2.8,46,44,Clinton +2
Quinnipiac,8/20 - 8/25,1563 RV,2.5,45,41,Clinton +4
CNN/ORC,8/13 - 8/16,897 RV,3.5,51,45,Clinton +6
FOX News,8/11 - 8/13,1008 RV,3.0,47,42,Clinton +5
Quinnipiac,7/23 - 7/28,1644 RV,2.4,48,36,Clinton +12
McClatchy/Marist,7/22 - 7/28,964 RV,3.2,54,38,Clinton +16
CNN/Opinion Research,7/22 - 7/25,898 RV,3.5,56,40,Clinton +16
PPP (D),7/20 - 7/21,1087 RV,3.0,50,37,Clinton +13
USA Today/Suffolk,7/9 - 7/12,1000 LV,3.0,51,34,Clinton +17
CNN/Opinion Research,6/26 - 6/28,890 RV,3.5,59,35,Clinton +24
FOX News,6/21 - 6/23,1005 RV,3.0,51,34,Clinton +17
Quinnipiac,5/19 - 5/26,1711 RV,2.4,50,32,Clinton +18
